A,B
18,31
13,26
19,32
8,31
10,31
20,32
19,31
19,32
19,32
19,31
20,32
7,19
20,32
19,31
20,32
8,27
7,20
17,31
16,29
19,32
19,32
8,31
8,31
20,32
19,32
19,32
20,33
11,24
18,31
8,22
10,30
14,26
19,31
19,32
19,32
19,31
15,27
7,19
9,31
8,21
8,31
20,32
21,33
20,32
13,31
18,31
19,32
7,20
20,32
8,32
7,19
19,32
8,27
8,29
8,23
19,32
19,32
7,20
8,20
8,32
20,33
20,32
8,30
21,33
19,32
7,20
17,32
6,18
20,32
20,32
18,31
8,26
10,23
20,33
19,32
14,29
10,32
18,31
20,32
20,32
7,20
18,31
7,19
17,29
7,20
14,28
19,30
19,32
18,31
11,25
9,22
20,32
19,31
9,32
7,20
20,32
12,32
20,31
18,31
7,19
7,20
17,31
20,32
13,26
18,31
12,31
12,30
19,32
11,24
19,30
10,23
8,20
18,32
18,31
18,31
8,20
19,32
18,31
8,32
20,32
16,31
8,31
18,31
20,32
19,31
19,31
8,28
15,28
10,23
16,31
7,19
21,33
19,32
8,31
15,32
8,21
8,32
19,31
19,32
18,32
7,29
19,32
14,27
11,24
8,31
8,32
20,32
20,33
7,31
7,19
10,24
7,19
17,31
8,21
17,30
13,26
18,32
14,31
8,23
7,20
18,31
19,31
8,22
20,32
21,33
16,29
7,19
13,26
12,25
17,31
7,19
8,25
19,31
7,31
8,24
19,32
20,32
15,32
8,20
19,31
21,33
16,31
12,32
19,32
19,31
20,32
8,19
20,32
11,25
8,21
19,32
19,32
18,31
20,32
20,32
11,27
6,19
19,31
8,21
19,32
8,22
12,31
7,32
19,31
14,26
17,30
12,25
18,31
7,20
20,32
8,21
7,20
19,32
8,20
20,31
8,20
19,32
8,22
8,31
19,32
7,19
19,32
8,31
20,32
21,32
10,27
8,20
20,32
18,30
8,23
20,31
7,20
18,32
14,27
19,31
18,32
15,31
9,21
15,32
19,32
19,32
18,31
20,32
18,32
20,32
19,31
17,29
21,32
16,29
13,26
7,19
16,30
9,23
19,32
20,32
19,31
7,20
7,19
21,33
19,32
20,31
18,31
11,23
19,31
16,30
20,31
10,23
10,29
20,32
20,32
19,31
19,31
8,32
11,23
16,28
19,33
9,32
15,31
19,32
20,32
19,32
21,33
14,26
11,27
19,32
19,31
8,24
15,28
13,26
8,19
8,31
20,32
21,32
19,31
20,33
20,32
10,31
20,32
20,32
13,27
15,28
19,31
8,21
8,19
17,30
12,32
20,32
20,32
10,31
21,32
20,32
7,31
15,28
20,32
19,31
21,32
20,32
15,27
20,32
8,22
19,32
9,30
20,32
16,30
20,32
19,31
19,32
19,32
20,32
6,18
15,32
7,20
7,32
20,32
16,29
8,29
20,31
18,31
13,31
7,31
9,29
8,22
21,31
17,32
10,31
19,31
17,30
10,31
8,26
8,30
7,21
9,23
11,26
9,22
18,31
18,32
16,29
20,32
9,29
7,21
20,32
7,19
17,31
20,32
19,31
20,33
9,30
10,23
